
                            < M A T L A B (R) >
                  Copyright 1984-2013 The MathWorks, Inc.
                    R2013a (8.1.0.604) 64-bit (glnxa64)
                             February 15, 2013

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> X-ray simulation startup file...
====== With Self Absorption, Transmission Detector Resolution is 16
====== Fluorescence Detector Resolution is 2000
====== Angle Number  1 of 8: 0
====== Angle Number  2 of 8: 2.571429e+01
====== Angle Number  3 of 8: 5.142857e+01
====== Angle Number  4 of 8: 7.714286e+01
====== Angle Number  5 of 8: 1.028571e+02
====== Angle Number  6 of 8: 1.285714e+02
====== Angle Number  7 of 8: 1.542857e+02
====== Angle Number  8 of 8: 180
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> ============================ Attenuation Transmission Reconstruction
  24     25    193    7.48513995e-01   1.5e-01     1.0e+00      3.606e-01
  25     26    203    7.48507570e-01   5.6e-01     1.0e+00      3.605e-01
  26     27    207    7.48504752e-01   1.2e-01     1.0e+00      3.605e-01
  27     28    217    7.48493600e-01   6.5e-01     1.0e+00      3.605e-01
  28     29    221    7.48486375e-01   3.5e-01     1.0e+00      3.605e-01
  29     30    225    7.48484576e-01   1.1e-01     1.0e+00      3.605e-01
  30     31    235    7.48472465e-01   4.1e-01     1.0e+00      3.604e-01
  31     32    238    7.48466041e-01   2.9e-01     1.0e+00      3.604e-01
  32     33    245    7.48461756e-01   8.2e-02     1.0e+00      3.604e-01
  33     34    255    7.48448947e-01   5.1e-01     1.0e+00      3.603e-01
  34     35    260    7.48441161e-01   2.0e-01     1.0e+00      3.603e-01
  35     36    270    7.48433817e-01   1.7e-01     1.0e+00      3.603e-01
  36     37    280    7.48427622e-01   1.3e-01     1.0e+00      3.603e-01
  37     38    288    7.48424215e-01   1.1e-01     1.0e+00      3.603e-01
  38     39    298    7.48402438e-01   4.6e-01     1.0e+00      3.602e-01
  39     40    302    7.48386248e-01   1.2e-01     1.0e+00      3.602e-01
  40     41    310    7.48382343e-01   6.3e-02     1.0e+00      3.602e-01
  41     42    320    7.48375714e-01   5.6e-01     1.0e+00      3.601e-01
  42     43    324    7.48371400e-01   2.3e-01     1.0e+00      3.601e-01
