
                            < M A T L A B (R) >
                  Copyright 1984-2013 The MathWorks, Inc.
                    R2013a (8.1.0.604) 64-bit (glnxa64)
                             February 15, 2013

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> X-ray simulation startup file...
====== Fluorescence Detector Resolution is 5
====== Angle Number  1 of 4: 0
====== Angle Number  2 of 4: 60
====== Angle Number  3 of 4: 120
====== Angle Number  4 of 4: 180
>> >> >> >> >> >> >> >> >> >> >> >> >> ====== With Self Absorption, Transmission Detector Resolution is 6
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> #######==============Beta= 0.000000, TempBeta = 1.000000 
  it     nf     cg           f             f_xrf             f_xtm            |g|        alpha        error
  91     92    591    2.00027748e+01    2.00027748e+01     4.21411800e-03    1.4e+02     1.0e+00      3.369e-01
  92     93    594    1.99982339e+01    1.99982339e+01     4.21367936e-03    4.2e+02     1.0e+00      3.369e-01
  93     94    604    1.99620476e+01    1.99620476e+01     4.20003353e-03    6.1e+02     1.0e+00      3.364e-01
  94     95    609    1.99427381e+01    1.99427381e+01     4.20019623e-03    2.9e+02     1.0e+00      3.364e-01
  95     96    619    1.99141770e+01    1.99141770e+01     4.19518908e-03    2.8e+02     1.0e+00      3.361e-01
  96     97    621    1.99117585e+01    1.99117585e+01     4.19515937e-03    1.1e+02     1.0e+00      3.361e-01
  97     98    631    1.98867312e+01    1.98867312e+01     4.18884035e-03    2.3e+02     1.0e+00      3.359e-01
  98     99    638    1.98724445e+01    1.98724445e+01     4.18787838e-03    1.7e+02     1.0e+00      3.358e-01
  99    100    643    1.98674241e+01    1.98674241e+01     4.18699231e-03    1.8e+02     1.0e+00      3.358e-01
 100    101    653    1.82116058e+01    1.82116058e+01     3.61758402e-03    3.8e+03     1.0e+00      3.106e-01
 101    102    659    1.72452520e+01    1.72452520e+01     3.61262911e-03    5.0e+02     1.0e+00      3.106e-01
 102    103    663    1.71984654e+01    1.71984654e+01     3.61328626e-03    1.1e+03     1.0e+00      3.106e-01
 103    104    667    1.71707545e+01    1.71707545e+01     3.61324872e-03    4.5e+02     1.0e+00      3.106e-01
 104    105    675    1.70945730e+01    1.70945730e+01     3.61259598e-03    9.7e+01     1.0e+00      3.105e-01
 105    106    685    1.69404889e+01    1.69404889e+01     3.55883865e-03    3.9e+02     1.0e+00      3.082e-01
 106    107    689    1.68481353e+01    1.68481353e+01     3.55736922e-03    3.7e+02     1.0e+00      3.081e-01
 107    108    693    1.68260395e+01    1.68260395e+01     3.55786197e-03    5.2e+02     1.0e+00      3.081e-01
 108    109    697    1.68199800e+01    1.68199800e+01     3.55780019e-03    1.7e+02     1.0e+00      3.081e-01
 109    110    706    1.67961659e+01    1.67961659e+01     3.55463459e-03    1.2e+02     1.0e+00      3.079e-01
 110    111    710    1.67896132e+01    1.67896132e+01     3.55402385e-03    1.3e+02     1.0e+00      3.079e-01
 111    112    720    1.67671039e+01    1.67671039e+01     3.54593888e-03    4.1e+02     1.0e+00      3.076e-01
 112    113    724    1.67540186e+01    1.67540186e+01     3.54585386e-03    2.8e+02     1.0e+00      3.076e-01
 113    114    729    1.67512571e+01    1.67512571e+01     3.54573646e-03    2.1e+02     1.0e+00      3.075e-01
 114    115    739    1.67193124e+01    1.67193124e+01     3.53596061e-03    4.6e+02     1.0e+00      3.071e-01
 115    116    746    1.66896162e+01    1.66896162e+01     3.53354982e-03    9.0e+01     1.0e+00      3.070e-01
 116    117    756    1.66268180e+01    1.66268180e+01     3.51190281e-03    9.2e+02     1.0e+00      3.059e-01
 117    118    760    1.65981641e+01    1.65981641e+01     3.51049560e-03    3.3e+02     1.0e+00      3.059e-01
 118    119    764    1.65848761e+01    1.65848761e+01     3.51031791e-03    3.0e+02     1.0e+00      3.059e-01
 119    120    774    1.65590759e+01    1.65590759e+01     3.50630129e-03    3.4e+02     1.0e+00      3.057e-01
 120    121    781    1.65422116e+01    1.65422116e+01     3.50299359e-03    2.2e+02     1.0e+00      3.055e-01
 121    122    786    1.65363811e+01    1.65363811e+01     3.50229371e-03    1.2e+02     1.0e+00      3.055e-01
 122    123    796    1.65150086e+01    1.65150086e+01     3.49607510e-03    2.4e+02     1.0e+00      3.053e-01
 123    124    800    1.65032750e+01    1.65032750e+01     3.49504521e-03    4.2e+02     1.0e+00      3.052e-01
 124    125    803    1.64990216e+01    1.64990216e+01     3.49495470e-03    1.0e+02     1.0e+00      3.052e-01
 125    126    813    1.63805663e+01    1.63805663e+01     3.44999250e-03    2.5e+03     1.0e+00      3.030e-01
 126    127    817    1.62953227e+01    1.62953227e+01     3.44850142e-03    3.6e+02     1.0e+00      3.030e-01
 127    128    827    1.62537397e+01    1.62537397e+01     3.44472283e-03    1.1e+02     1.0e+00      3.029e-01
 128    129    837    1.62239287e+01    1.62239287e+01     3.43605056e-03    3.4e+02     1.0e+00      3.024e-01
 129    130    847    1.61964144e+01    1.61964144e+01     3.43336566e-03    4.2e+02     1.0e+00      3.023e-01
 130    131    857    1.61717205e+01    1.61717205e+01     3.42566288e-03    4.2e+02     1.0e+00      3.020e-01
 131    132    864    1.61559660e+01    1.61559660e+01     3.42528071e-03    1.0e+02     1.0e+00      3.019e-01
 132    133    869    1.61522066e+01    1.61522066e+01     3.42466573e-03    2.0e+02     1.0e+00      3.019e-01
 133    134    879    1.61244256e+01    1.61244256e+01     3.41550483e-03    3.9e+02     1.0e+00      3.015e-01
 134    135    883    1.61050475e+01    1.61050475e+01     3.41409754e-03    4.0e+02     1.0e+00      3.014e-01
 135    136    889    1.60996399e+01    1.60996399e+01     3.41413020e-03    2.0e+02     1.0e+00      3.014e-01
 136    137    899    1.59875059e+01    1.59875059e+01     3.37271248e-03    1.0e+03     1.0e+00      2.994e-01
 137    138    903    1.59131395e+01    1.59131395e+01     3.37037924e-03    2.6e+02     1.0e+00      2.993e-01
 138    139    908    1.58942638e+01    1.58942638e+01     3.37046025e-03    5.7e+02     1.0e+00      2.993e-01
 139    140    918    1.58700899e+01    1.58700899e+01     3.36753947e-03    1.6e+02     1.0e+00      2.992e-01
 140    141    922    1.58649917e+01    1.58649917e+01     3.36649624e-03    1.9e+02     1.0e+00      2.992e-01
 141    142    927    1.58616742e+01    1.58616742e+01     3.36622804e-03    1.6e+02     1.0e+00      2.991e-01
 142    143    937    1.57443981e+01    1.57443981e+01     3.32118055e-03    5.2e+02     1.0e+00      2.970e-01
 143    144    941    1.56521672e+01    1.56521672e+01     3.32053337e-03    3.9e+02     1.0e+00      2.969e-01
 144    145    951    1.56218268e+01    1.56218268e+01     3.31760049e-03    1.7e+02     1.0e+00      2.968e-01
 145    146    953    1.56209579e+01    1.56209579e+01     3.31757231e-03    9.4e+01     1.0e+00      2.968e-01
 146    147    963    1.55909480e+01    1.55909480e+01     3.30798861e-03    6.8e+02     1.0e+00      2.963e-01
 147    148    967    1.55807873e+01    1.55807873e+01     3.30778760e-03    3.2e+02     1.0e+00      2.963e-01
 148    149    974    1.55623105e+01    1.55623105e+01     3.30561902e-03    9.6e+01     1.0e+00      2.962e-01
 149    150    977    1.55576495e+01    1.55576495e+01     3.30503602e-03    1.7e+02     1.0e+00      2.962e-01
 150    151    987    1.53439611e+01    1.53439611e+01     3.22288192e-03    1.3e+03     1.0e+00      2.922e-01
 151    152    990    1.51948749e+01    1.51948749e+01     3.22221660e-03    4.9e+02     1.0e+00      2.922e-01
 152    153    995    1.51525638e+01    1.51525638e+01     3.22095774e-03    5.0e+02     1.0e+00      2.921e-01
 153    154    998    1.51430640e+01    1.51430640e+01     3.22077287e-03    2.3e+02     1.0e+00      2.921e-01
 154    155   1008    1.51226504e+01    1.51226504e+01     3.21666969e-03    6.5e+02     1.0e+00      2.919e-01
 155    156   1011    1.51201094e+01    1.51201094e+01     3.21664787e-03    8.6e+01     1.0e+00      2.919e-01
 156    157   1021    1.50907008e+01    1.50907008e+01     3.20849438e-03    5.3e+02     1.0e+00      2.915e-01
 157    158   1023    1.50860899e+01    1.50860899e+01     3.20843320e-03    3.2e+02     1.0e+00      2.915e-01
 158    159   1029    1.50729847e+01    1.50729847e+01     3.20710678e-03    1.3e+02     1.0e+00      2.915e-01
 159    160   1035    1.50670287e+01    1.50670287e+01     3.20661765e-03    1.6e+02     1.0e+00      2.914e-01
 160    161   1045    1.50164603e+01    1.50164603e+01     3.18826821e-03    4.9e+02     1.0e+00      2.905e-01
 161    162   1050    1.49872855e+01    1.49872855e+01     3.18699750e-03    4.9e+02     1.0e+00      2.905e-01
 162    163   1056    1.49763007e+01    1.49763007e+01     3.18712499e-03    4.1e+02     1.0e+00      2.905e-01
 163    164   1066    1.49577593e+01    1.49577593e+01     3.18399983e-03    1.4e+02     1.0e+00      2.903e-01
 164    165   1073    1.49471815e+01    1.49471815e+01     3.18235314e-03    1.9e+02     1.0e+00      2.902e-01
 165    166   1078    1.49429915e+01    1.49429915e+01     3.18171226e-03    9.5e+01     1.0e+00      2.902e-01
 166    167   1088    1.47666962e+01    1.47666962e+01     3.11581735e-03    4.3e+02     1.0e+00      2.869e-01
 167    168   1093    1.46399914e+01    1.46399914e+01     3.11286644e-03    5.2e+02     1.0e+00      2.868e-01
 168    169   1098    1.46090380e+01    1.46090380e+01     3.11311492e-03    5.3e+02     1.0e+00      2.868e-01
 169    170   1108    1.45879860e+01    1.45879860e+01     3.11007509e-03    2.1e+02     1.0e+00      2.867e-01
 170    171   1118    1.45725848e+01    1.45725848e+01     3.10666577e-03    3.4e+02     1.0e+00      2.865e-01
 171    172   1123    1.45647313e+01    1.45647313e+01     3.10593586e-03    9.3e+01     1.0e+00      2.865e-01
 172    173   1133    1.45345379e+01    1.45345379e+01     3.09604745e-03    4.3e+02     1.0e+00      2.860e-01
 173    174   1135    1.45302397e+01    1.45302397e+01     3.09596424e-03    3.9e+02     1.0e+00      2.860e-01
 174    175   1140    1.45131576e+01    1.45131576e+01     3.09456144e-03    3.0e+02     1.0e+00      2.859e-01
 175    176   1144    1.45076412e+01    1.45076412e+01     3.09470579e-03    1.2e+02     1.0e+00      2.859e-01
 176    177   1154    1.44035578e+01    1.44035578e+01     3.05618342e-03    3.0e+02     1.0e+00      2.839e-01
 177    178   1158    1.43603807e+01    1.43603807e+01     3.05552194e-03    5.2e+02     1.0e+00      2.839e-01
 178    179   1162    1.43370567e+01    1.43370567e+01     3.05504353e-03    4.0e+02     1.0e+00      2.839e-01
 179    180   1172    1.42975445e+01    1.42975445e+01     3.05257534e-03    7.3e+01     1.0e+00      2.838e-01
 180    181   1182    1.42588647e+01    1.42588647e+01     3.03953018e-03    2.5e+02     1.0e+00      2.831e-01
 181    182   1192    1.42204725e+01    1.42204725e+01     3.03726347e-03    6.1e+01     1.0e+00      2.830e-01
 182    183   1202    1.41882842e+01    1.41882842e+01     3.02590297e-03    3.7e+02     1.0e+00      2.825e-01
 183    184   1206    1.41745474e+01    1.41745474e+01     3.02595531e-03    3.3e+02     1.0e+00      2.824e-01
 184    185   1211    1.41690757e+01    1.41690757e+01     3.02572276e-03    3.7e+02     1.0e+00      2.824e-01
 185    186   1215    1.41658941e+01    1.41658941e+01     3.02558801e-03    1.4e+02     1.0e+00      2.824e-01
