
                            < M A T L A B (R) >
                  Copyright 1984-2013 The MathWorks, Inc.
                    R2013a (8.1.0.604) 64-bit (glnxa64)
                             February 15, 2013

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> X-ray simulation startup file...
====== Fluorescence Detector Resolution is 5
====== Angle Number  1 of 10: 0
====== Angle Number  2 of 10: 20
====== Angle Number  3 of 10: 40
====== Angle Number  4 of 10: 60
====== Angle Number  5 of 10: 80
====== Angle Number  6 of 10: 100
====== Angle Number  7 of 10: 120
====== Angle Number  8 of 10: 140
====== Angle Number  9 of 10: 160
====== Angle Number  10 of 10: 180
>> >> >> >> >> >> >> >> >> >> >> >> >> ====== With Self Absorption, Transmission Detector Resolution is 30
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> #######==============Beta= 1.000000, TempBeta = 0.000000 
  it     nf     cg           f             f_xrf             f_xtm            |g|        alpha        error
 163    164   1125    4.30151430e-09    4.44663327e+06     4.30151430e-09    2.9e-07     1.0e+00      6.717e-01
 164    165   1135    4.27610531e-09    4.44636249e+06     4.27610531e-09    2.3e-07     1.0e+00      6.717e-01
 165    166   1141    4.25981272e-09    4.44613352e+06     4.25981272e-09    1.7e-07     1.0e+00      6.717e-01
 166    167   1151    4.23041035e-09    4.44584711e+06     4.23041035e-09    5.1e-07     1.0e+00      6.717e-01
 167    168   1153    4.22094427e-09    4.44591799e+06     4.22094427e-09    1.6e-07     1.0e+00      6.717e-01
 168    169   1159    4.20521516e-09    4.44590499e+06     4.20521516e-09    1.6e-07     1.0e+00      6.717e-01
 169    170   1169    4.01784855e-09    4.44346325e+06     4.01784855e-09    5.9e-07     1.0e+00      6.714e-01
 170    171   1172    3.88019452e-09    4.44315577e+06     3.88019452e-09    4.9e-07     1.0e+00      6.714e-01
 171    172   1178    3.85233493e-09    4.44321469e+06     3.85233493e-09    2.4e-07     1.0e+00      6.714e-01
 172    173   1184    3.84378710e-09    4.44312782e+06     3.84378710e-09    2.2e-07     1.0e+00      6.714e-01
 173    174   1194    3.66166513e-09    4.44091608e+06     3.66166513e-09    3.6e-07     1.0e+00      6.712e-01
 174    175   1201    3.49704007e-09    4.44040202e+06     3.49704007e-09    3.2e-07     1.0e+00      6.712e-01
 175    176   1203    3.49450036e-09    4.44042218e+06     3.49450036e-09    6.7e-08     1.0e+00      6.712e-01
 176    177   1213    3.33307127e-09    4.43746893e+06     3.33307127e-09    8.1e-07     1.0e+00      6.709e-01
 177    178   1217    3.23809987e-09    4.43830776e+06     3.23809987e-09    6.7e-07     1.0e+00      6.709e-01
 178    179   1225    3.18193683e-09    4.43786414e+06     3.18193683e-09    1.8e-07     1.0e+00      6.709e-01
 179    180   1235    3.06343033e-09    4.43483423e+06     3.06343033e-09    7.4e-07     1.0e+00      6.708e-01
 180    181   1238    2.97930242e-09    4.43586036e+06     2.97930242e-09    3.2e-07     1.0e+00      6.708e-01
 181    182   1245    2.95297624e-09    4.43584840e+06     2.95297624e-09    1.7e-07     1.0e+00      6.708e-01
 182    183   1255    2.92458974e-09    4.43561480e+06     2.92458974e-09    4.8e-07     1.0e+00      6.707e-01
 183    184   1259    2.90326278e-09    4.43535309e+06     2.90326278e-09    1.5e-07     1.0e+00      6.707e-01
 184    185   1269    2.88757590e-09    4.43507294e+06     2.88757590e-09    2.7e-07     1.0e+00      6.707e-01
 185    186   1271    2.88454997e-09    4.43514502e+06     2.88454997e-09    2.1e-07     1.0e+00      6.707e-01
 186    187   1277    2.87560714e-09    4.43521330e+06     2.87560714e-09    9.7e-08     1.0e+00      6.707e-01
 187    188   1287    2.85760299e-09    4.43503189e+06     2.85760299e-09    3.6e-07     1.0e+00      6.707e-01
