
                            < M A T L A B (R) >
                  Copyright 1984-2013 The MathWorks, Inc.
                    R2013a (8.1.0.604) 64-bit (glnxa64)
                             February 15, 2013

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> X-ray simulation startup file...
====== Fluorescence Detector Resolution is 5
====== Angle Number  1 of 6: 0
====== Angle Number  2 of 6: 36
====== Angle Number  3 of 6: 72
====== Angle Number  4 of 6: 108
====== Angle Number  5 of 6: 144
====== Angle Number  6 of 6: 180
>> >> >> >> >> >> ===================== 10
====== With Self Absorption, Transmission Detector Resolution is 16
ans =
   410   300
ans =
    82   300
J1 =
   240
J2 =
    70
J3 =
   300
  it     nf     cg           f             f_xrf             f_xtm            |g|        alpha        error
 113    114    711    6.32678470e-04    5.61610957e-04     7.10675134e-05    1.8e-02     1.0e+00      2.902e-01
 114    115    721    6.16171209e-04    5.39826153e-04     7.63450557e-05    3.0e-02     1.0e+00      2.887e-01
 115    116    726    6.03920983e-04    5.33671730e-04     7.02492532e-05    1.8e-02     1.0e+00      2.887e-01
 116    117    729    6.03121010e-04    5.33035386e-04     7.00856249e-05    1.0e-02     1.0e+00      2.887e-01
 117    118    739    5.93636491e-04    5.34311337e-04     5.93251536e-05    8.8e-03     1.0e+00      2.881e-01
 118    119    744    5.89470216e-04    5.28107613e-04     6.13626025e-05    7.8e-03     1.0e+00      2.881e-01
 119    120    748    5.88394861e-04    5.28010246e-04     6.03846157e-05    6.2e-03     1.0e+00      2.880e-01
 120    121    757    5.80413086e-04    5.11895693e-04     6.85173926e-05    1.4e-02     1.0e+00      2.875e-01
 121    122    766    5.75686099e-04    5.12802304e-04     6.28837954e-05    1.1e-02     1.0e+00      2.874e-01
 122    123    776    5.71938384e-04    5.09732849e-04     6.22055348e-05    3.8e-03     1.0e+00      2.872e-01
 123    124    778    5.70990188e-04    5.08647484e-04     6.23427036e-05    9.0e-03     1.0e+00      2.872e-01
 124    125    788    5.68177122e-04    5.07839759e-04     6.03373627e-05    4.6e-03     1.0e+00      2.870e-01
 125    126    798    5.65480484e-04    5.04438338e-04     6.10421455e-05    9.3e-03     1.0e+00      2.869e-01
